adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/mXndmCbpvlqnD6po0EMfxEZcUSn.jpg,"[27, 53]",138843,en,The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",126.482,/wVYREutTvI2tmxr6ujrHT704wGF.jpg,2013-07-18,The Conjuring,False,7.539,11653
False,/f5YZfKutoXF09p2scOQMqa1TQf8.jpg,"[27, 53]",78383,en,Nurse 3-D,"Abby Russell, a beautiful, dedicated nurse with a sinister side, has a secret life in which she targets and punishes dishonest men.",120.982,/3FSl2sSRsNuOVOJgX6HsmnM3gAo.jpg,2013-09-28,Nurse 3-D,False,5.3,466
False,/63y4XSVTZ7mRzAzkqwi3o0ajDZZ.jpg,"[80, 18, 35]",106646,en,The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",122.523,/kW9LmvYHAaS9iA0tHmZVq8hQYoq.jpg,2013-12-25,The Wolf of Wall Street,False,8.0,24246
False,/u2bZhH3nTf0So0UIC1QxAqBvC07.jpg,"[16, 10751, 12, 14]",109445,en,Frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",118.727,/mmWheq3cFI4tYrZDiATOkCNTqgK.jpg,2013-11-20,Frozen,False,7.247,16661
False,/kg2FOT2Oe5PSCgs3L4vLel6B7ck.jpg,"[28, 27, 878, 53]",72190,en,World War Z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",102.17,/aCnVdvExw6UWSeQfr0tUH3jr4qG.jpg,2013-06-19,World War Z,False,6.82,15503
False,/3RFmTz5h2UuFWEV4oH00XICBR9y.jpg,"[18, 53, 80]",146233,en,Prisoners,"Keller Dover is facing every parent’s worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street.",85.49,/jsS3a3ep2KyBVmmiwaz3LvK49b1.jpg,2013-09-19,Prisoners,False,8.1,11920
False,/npCPnwDyWfQltGfIZKN6WqeUXGI.jpg,"[14, 12, 28]",57158,en,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",68.477,/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg,2013-12-11,The Hobbit: The Desolation of Smaug,False,7.6,13278
False,/s5cO1UTGIw4EVcVpvOVmCSSkopH.jpg,[35],109418,en,Grown Ups 2,"Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.",78.208,/hT6ijOtjtYrnyDhN7VA2QWyGFAm.jpg,2013-07-11,Grown Ups 2,False,6.139,4357
False,/fOipappvgVtUbbHOtmCkHzcwJjC.jpg,"[16, 35, 10751]",93456,en,Despicable Me 2,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,72.6,/xL6t0Fo38DjiiuNLVSj58xJWNJy.jpg,2013-06-26,Despicable Me 2,False,6.9,11338
False,/ig7qUy7drkEFZNCK7gi0hMn1WMN.jpg,"[28, 878, 12]",68726,en,Pacific Rim,"Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes who now stand as earth's final hope against the mounting apocalypse.",92.571,/8wo4eN8dWKaKlxhSvBz19uvj8gA.jpg,2013-07-11,Pacific Rim,False,6.907,12527
False,/33dV6HAnXBmwKl640gO3U4auqUN.jpg,"[28, 878, 18]",110415,ko,Snowpiercer,"In a future where a failed global-warming experiment kills off most life on the planet, a class system evolves aboard the Snowpiercer, a train that travels around the globe via a perpetual-motion engine.",60.059,/nzccOvhrLGI0nvAknCEAk8bchD9.jpg,2013-08-01,Snowpiercer,False,6.905,9615
False,/14FK4FjArsTdpmbqwlROrWA4Npl.jpg,"[12, 28, 878]",101299,en,The Hunger Games: Catching Fire,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",51.184,/qdXXEFGuLLfMWa1DGEkWFUo8Zwd.jpg,2013-11-15,The Hunger Games: Catching Fire,False,7.4,17454
False,/j9NGh8z7v2mLpGKkvUAHox81bqi.jpg,"[18, 10749]",64682,en,The Great Gatsby,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",51.656,/nimh1rrDDLhgpG8XAYoUZXHYwb6.jpg,2013-05-09,The Great Gatsby,False,7.366,12301
False,/5n417Ff5GXOGCOKj3ZLMRAxEP0o.jpg,"[18, 9648]",249397,en,Nymphomaniac: Vol. II,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,66.293,/iLUNqgNKuWn667kXCKztSxYbT3k.jpg,2013-12-25,Nymphomaniac: Vol. II,False,6.7,2930
False,/69EFgWWPFWbRNHmQgYdSnyJ94Ge.jpg,"[28, 12, 878]",49521,en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",57.366,/dksTL9NXc3GqPBRHYHcy1aIwjS.jpg,2013-06-12,Man of Steel,False,6.6,15221
False,/73Ridh5DhGBmKAiwq8gy3IbtthT.jpg,"[28, 80, 35]",134374,en,Pain & Gain,"Daniel Lugo, manager of the Sun Gym in 1990s Miami, decides that there is only one way to achieve his version of the American dream: extortion. To achieve his goal, he recruits musclemen Paul and Adrian as accomplices. After several failed attempts, they abduct rich businessman Victor Kershaw and convince him to sign over all his assets to them. But when Kershaw makes it out alive, authorities are reluctant to believe his story.",50.587,/txagTxnwbpSOvSf6JdIIvUPsJHN.jpg,2013-04-18,Pain & Gain,False,6.273,4492
