adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,belongs_to_collection,budget,genres,homepage,imdb_id,origin_country,production_companies,production_countries,revenue,runtime,spoken_languages,status,tagline
False,/mXndmCbpvlqnD6po0EMfxEZcUSn.jpg,"[27, 53]",138843,en,The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",126.482,/wVYREutTvI2tmxr6ujrHT704wGF.jpg,2013-07-18,The Conjuring,False,7.539,11652,"{'id': 313086, 'name': 'The Conjuring Collection', 'poster_path': '/z5VKhNSQKQyxm0co68HAkCqHnmX.jpg', 'backdrop_path': '/kHZaX0vuhZdbuq0WKU3BpA9WIQ0.jpg'}",13000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",http://theconjuring.warnerbros.com,tt1457767,['US'],"[{'id': 31375, 'logo_path': None, 'name': 'Evergreen Media Group', 'origin_country': ''}, {'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 11565, 'logo_path': '/S74cHHbIrdmb5M51Pft72Uo9Gz.png', 'name': 'The Safran Company', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",320415166,112,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Based on the true case files of the Warrens.
False,/f5YZfKutoXF09p2scOQMqa1TQf8.jpg,"[27, 53]",78383,en,Nurse 3-D,"Abby Russell, a beautiful, dedicated nurse with a sinister side, has a secret life in which she targets and punishes dishonest men.",120.982,/3FSl2sSRsNuOVOJgX6HsmnM3gAo.jpg,2013-09-28,Nurse 3-D,False,5.3,466,,10000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",http://nurse3dmovie.com,tt1913166,['US'],"[{'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,84,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Your pain is her pleasure.
False,/63y4XSVTZ7mRzAzkqwi3o0ajDZZ.jpg,"[80, 18, 35]",106646,en,The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",122.523,/kW9LmvYHAaS9iA0tHmZVq8hQYoq.jpg,2013-12-25,The Wolf of Wall Street,False,8.0,24246,,100000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",http://www.thewolfofwallstreet.com/,tt0993846,['US'],"[{'id': 19177, 'logo_path': None, 'name': 'Red Granite Pictures', 'origin_country': 'US'}, {'id': 562, 'logo_path': '/azANEzu3H3Kztzt63sdjvlzxhuB.png', 'name': 'Appian Way', 'origin_country': 'US'}, {'id': 23243, 'logo_path': '/cBPyrhXhGKzxUdL4Fkg801HZ4W.png', 'name': 'Sikelia Productions', 'origin_country': 'US'}, {'id': 14654, 'logo_path': None, 'name': 'EMJAG Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",392000000,180,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,Earn. Spend. Party.
False,/u2bZhH3nTf0So0UIC1QxAqBvC07.jpg,"[16, 10751, 12, 14]",109445,en,Frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",118.727,/mmWheq3cFI4tYrZDiATOkCNTqgK.jpg,2013-11-20,Frozen,False,7.247,16661,"{'id': 386382, 'name': 'Frozen Collection', 'poster_path': '/13Op41T3cALJedrKqYPrlc3cIbO.jpg', 'backdrop_path': '/s3vdRkK7KZFUDC8HEJo2GRKyVhW.jpg'}",150000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",http://movies.disney.com/frozen,tt2294629,['US'],"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 6125, 'logo_path': '/tzsMJBJZINu7GHzrpYzpReWhh66.png', 'name': 'Walt Disney Animation Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1274219009,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Only the act of true love will thaw a frozen heart.
False,/kg2FOT2Oe5PSCgs3L4vLel6B7ck.jpg,"[28, 27, 878, 53]",72190,en,World War Z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",102.17,/aCnVdvExw6UWSeQfr0tUH3jr4qG.jpg,2013-06-19,World War Z,False,6.82,15503,,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",http://www.worldwarzmovie.com,tt0816711,['US'],"[{'id': 3281, 'logo_path': '/pfmb82VUfN9VKB1YuBSY69WVNVm.png', 'name': 'GK Films', 'origin_country': 'GB'}, {'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 9169, 'logo_path': '/fsjn4BwBzxlEBWmmWPOeBpubvOx.png', 'name': 'Hemisphere Media Capital', 'origin_country': 'US'}, {'id': 23644, 'logo_path': '/wF4SeLFv2qjKQa3oS1eaGyS4Hms.png', 'name': '2DUX²', 'origin_country': 'US'}, {'id': 82819, 'logo_path': '/gXfFl9pRPaoaq14jybEn1pHeldr.png', 'name': 'Skydance Media', 'origin_country': 'US'}, {'id': 81, 'logo_path': '/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png', 'name': 'Plan B Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",531865000,116,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,There will come a day when the world we know will end.
False,/3RFmTz5h2UuFWEV4oH00XICBR9y.jpg,"[18, 53, 80]",146233,en,Prisoners,"Keller Dover is facing every parent’s worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street.",85.49,/jsS3a3ep2KyBVmmiwaz3LvK49b1.jpg,2013-09-19,Prisoners,False,8.1,11920,,46000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",https://www.alconent.com/film/prisoners,tt1392214,['US'],"[{'id': 1088, 'logo_path': '/9WOE5AQUXbOtLU6GTwfjS8OMF0v.png', 'name': 'Alcon Entertainment', 'origin_country': 'US'}, {'id': 18208, 'logo_path': None, 'name': '8:38 Productions', 'origin_country': 'US'}, {'id': 12199, 'logo_path': '/gYYIgHpgRsyhyUkeFev1GnwBqHb.png', 'name': 'Madhouse Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",122126687,153,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Every moment matters.
False,/npCPnwDyWfQltGfIZKN6WqeUXGI.jpg,"[14, 12, 28]",57158,en,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",68.477,/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg,2013-12-11,The Hobbit: The Desolation of Smaug,False,7.6,13278,"{'id': 121938, 'name': 'The Hobbit Collection', 'poster_path': '/gwHNIXA6YeYsI9XgX4g1UmLDCxo.jpg', 'backdrop_path': '/7wO7MSnP5UcwR2cTHdJFF1vP4Ie.jpg'}",250000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",http://www.thehobbit.com/,tt1170358,['US'],"[{'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 11, 'logo_path': '/6FAuASQHybRkZUk08p9PzSs9ezM.png', 'name': 'WingNut Films', 'origin_country': 'NZ'}, {'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",958400000,161,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Beyond darkness... beyond desolation... lies the greatest danger of all.
False,/s5cO1UTGIw4EVcVpvOVmCSSkopH.jpg,[35],109418,en,Grown Ups 2,"Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.",78.208,/hT6ijOtjtYrnyDhN7VA2QWyGFAm.jpg,2013-07-11,Grown Ups 2,False,6.139,4357,"{'id': 180546, 'name': 'Grown Ups Collection', 'poster_path': '/8m9PIgdP6Nj18P3thsyI70qs76s.jpg', 'backdrop_path': '/ahlmYgIHI6oye76bgoUtC01mcrC.jpg'}",80000000,"[{'id': 35, 'name': 'Comedy'}]",http://www.sonypictures.com/movies/grownups2,tt2191701,['US'],"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 878, 'logo_path': '/g3YRudXiQzHesQqRXvnhFpMzfkU.png', 'name': 'Happy Madison Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",247022278,101,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Just because they're a little older doesn't mean they've grown up.
False,/fOipappvgVtUbbHOtmCkHzcwJjC.jpg,"[16, 35, 10751]",93456,en,Despicable Me 2,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,72.6,/xL6t0Fo38DjiiuNLVSj58xJWNJy.jpg,2013-06-26,Despicable Me 2,False,6.931,11339,"{'id': 86066, 'name': 'Despicable Me Collection', 'poster_path': '/95prV91f4DxkBnLU43YjLbU1m3q.jpg', 'backdrop_path': '/37xamYKRUGCRux532lKcZdVGYuR.jpg'}",76000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,tt1690953,['US'],"[{'id': 6704, 'logo_path': '/fOG2oY4m1YuYTQh4bMqqZkmgOAI.png', 'name': 'Illumination', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/3wwjVpkZtnog6lSKzWDjvw2Yi00.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",970766005,98,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Back 2 Work
False,/ig7qUy7drkEFZNCK7gi0hMn1WMN.jpg,"[28, 878, 12]",68726,en,Pacific Rim,"Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes who now stand as earth's final hope against the mounting apocalypse.",92.571,/8wo4eN8dWKaKlxhSvBz19uvj8gA.jpg,2013-07-11,Pacific Rim,False,6.907,12527,"{'id': 363369, 'name': 'Pacific Rim Collection', 'poster_path': '/fmM3CboncxaslL2KMm4bl5oF7JE.jpg', 'backdrop_path': '/zg60Lc8JJm7j2lAlTtm0jvK6nZO.jpg'}",180000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",https://www.warnerbros.com/movies/pacific-rim,tt1663662,['US'],"[{'id': 101082, 'logo_path': '/zjAYU6sUmYaeFeJ1yWeaqzsWAz8.png', 'name': 'Double Dare You', 'origin_country': 'US'}, {'id': 923, 'logo_path': '/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png', 'name': 'Legendary Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",411000000,131,"[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,"To fight monsters, we created monsters."
